taskID,task_name,date_created,time_created,due_date,due_time,description,priority,location,completed,,
42,LaciniaSapienQuis.ppt,2020-10-20,23:53:25,2020-11-05,23:07:21,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",1,,1,,
43,Small Boat Operations,2020-07-06,15:49:30,2020-07-17,3:10:51,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,5,Finspång,1,,
44,Wealth Management,2020-02-27,7:46:42,2020-03-14,13:00:57,,5,,1,,
45,FSCM,2019-12-02,12:37:56,2019-12-05,0:21:08,,4,,0,,
46,Litigation,2020-03-19,19:49:56,2020-03-27,7:19:27,,0,Lopar,1,,
47,MusEtiamVel.avi,2020-10-07,8:20:06,2020-10-10,13:01:59,"Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",4,Yefremov,0,,
48,take 43788,2019-11-19,16:12:40,2019-12-17,11:45:29,,4,,1,,
49,Air Conditioning,2020-09-16,22:39:52,2020-09-26,5:53:24,,1,,1,,
50,JCT,2020-07-14,8:33:16,2020-08-04,15:20:01,,0,Mikhaylovsk,1,,
51,Typewriter,2020-01-06,3:44:59,2020-02-04,15:55:16,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",4,,1,,
52,take 43847,2020-01-17,7:51:04,2020-01-21,18:56:59,,4,,1,,
53,Meeting at Hartmann Group,2020-06-07,16:46:47,2020-06-13,4:17:24,,3,Sapol,1,,
54,Starling,2020-05-09,21:20:35,2020-06-05,19:48:13,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",3,,0,,
55,Market Risk,2020-10-14,12:43:03,2020-11-07,22:37:20,,4,,0,,
56,PDMLink,2020-03-13,0:46:19,2020-03-21,1:59:35,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",2,,1,,
57,Kipling,2020-08-22,4:05:32,2020-09-06,23:07:40,,3,Xuân Trường,0,,
58,RCA,2020-09-04,19:25:39,2020-09-27,13:53:10,,1,,1,,
59,Badeau,2020-06-26,3:50:40,2020-07-04,19:40:41,,2,,1,,
60,Web Development,2020-06-10,4:22:07,2020-07-06,13:59:10,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",3,,0,,
61,HPLC,2020-03-17,14:57:49,2020-04-15,5:05:49,,4,,0,,
62,take 43809,2019-12-10,21:26:52,2019-12-19,21:09:12,,0,,0,,
63,take 44092,2020-09-18,0:03:49,2020-10-06,14:40:07,,2,,1,,
64,OmniPlan,2020-10-15,3:44:52,2020-10-23,21:05:10,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",3,,1,,
65,Dapin,2020-02-01,7:26:16,2020-02-11,12:33:00,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",0,,1,,
66,Cinematography,2020-05-04,18:56:51,2020-05-25,3:37:41,,4,,0,,
67,Disaster Recovery,2020-02-15,18:49:59,2020-02-22,9:56:17,,5,,1,,
68,Test Driven Development,2020-06-22,6:09:11,2020-07-03,18:59:29,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",3,,1,,
69,Typewriter,2019-12-27,21:17:02,2020-01-21,10:09:47,,0,,1,,
70,Athletic Performance,2020-09-14,4:31:54,2020-10-03,11:15:35,,0,Muyaka,1,,
71,SharePoint Server,2019-12-14,13:09:46,2019-12-27,10:46:42,,2,,1,,
72,Shrinkage,2020-07-29,10:36:17,2020-08-08,6:54:39,,5,Słubice,1,,
73,Delaware,2020-01-16,15:16:06,2020-01-24,20:20:43,,2,Motala,0,,
74,SNP genotyping,2020-05-09,20:22:35,2020-05-21,15:18:39,,5,Masaguisi,1,,
75,NVU,2020-07-15,14:10:36,2020-08-13,6:21:10,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",4,,1,,
76,Loan Servicing,2020-06-16,4:04:10,2020-06-25,9:03:04,,3,,0,,
77,Tutoring,2020-08-11,18:00:55,2020-08-31,1:53:20,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3,,0,,
78,Novick,2020-03-19,1:51:00,2020-04-12,5:15:54,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",0,,1,,
79,take 44086,2020-09-12,3:32:17,2020-09-28,21:19:04,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,1,,1,,
80,Oversight,2020-01-02,3:35:24,2020-01-23,10:43:31,Aliquam erat volutpat.,2,,1,,
81,Medical Devices,2020-05-22,13:16:20,2020-05-25,16:18:26,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,2,Zheshart,0,,
82,"Meeting at VonRueden, Runolfsson and Hahn",2020-06-08,12:36:23,2020-06-25,15:22:49,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",2,Södra Sandby,0,,
83,ODC,2020-09-28,1:08:05,2020-10-01,5:04:24,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,3,,0,,
84,PCS7,2020-02-07,14:51:45,2020-02-24,8:07:23,,2,,0,,
85,Lukken,2020-03-04,17:15:53,2020-03-15,9:02:19,,5,,1,,
86,Analog Circuit Design,2020-04-13,7:12:46,2020-05-10,18:35:23,,5,,0,,
87,Klarity,2020-03-18,23:56:33,2020-04-16,22:48:52,,2,Kavajë,1,,
88,SMED,2020-09-12,20:20:27,2020-10-06,14:49:57,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1,,0,,
89,Presentation Skills,2019-11-14,0:45:11,2019-12-10,12:57:09,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",4,Xiangyanglu,0,,
90,Reinke,2020-05-06,13:05:37,2020-05-12,20:26:42,,3,Airmata,0,,
91,Meet O'Connell-Boyle,2020-09-23,22:44:03,2020-10-18,8:35:35,,3,,1,,
92,Passionate about work,2020-03-03,17:08:27,2020-03-04,10:32:29,,5,Firenze,0,,
93,LigulaPellentesque.ppt,2020-07-15,7:37:51,2020-08-01,2:52:33,,4,,1,,
94,Motivational Interviewing,2020-08-18,20:18:52,2020-09-10,1:00:46,,2,,0,,
95,VO,2020-10-09,19:08:44,2020-11-05,12:30:01,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,2,,0,,
96,InEst.mp3,2020-07-24,19:29:07,2020-08-13,6:41:35,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0,,1,,
97,OMNI,2020-01-06,0:27:47,2020-01-12,19:19:26,,1,,0,,
98,Dunning,2020-05-16,6:14:48,2020-06-08,20:49:00,,1,Mobile,1,,
99,HP Proliant,2020-10-16,12:08:35,2020-10-24,22:14:48,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1,,0,,
100,Axys,2020-07-15,15:58:27,2020-07-20,19:13:30,,1,,1,,
101,VSAM,2020-10-16,20:36:52,2020-11-04,16:10:47,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",0,,0,,
102,Convallis.gif,2020-02-16,5:44:45,2020-02-27,16:14:46,,5,Uzlovaya,1,,
103,Uniform Combined State Law,2020-09-08,20:09:49,2020-10-06,11:41:35,,1,,1,,
104,"Meet Balistreri, Johnston and Rowe",2020-03-09,0:11:12,2020-03-28,21:55:01,,1,,0,,
105,Eget.tiff,2020-06-22,4:04:45,2020-07-07,10:55:10,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.",1,,0,,
106,Zsh,2020-09-17,14:30:08,2020-09-27,20:41:10,,0,,1,,
107,OnQ,2020-01-23,3:01:45,2020-02-17,11:37:31,,0,Villa Ascasubi,1,,
108,Nanofabrication,2020-09-12,20:21:06,2020-09-18,14:06:21,,4,,0,,
109,Sunfield,2020-05-23,22:56:03,2020-05-25,17:31:30,,1,,1,,
110,Juniper Technologies,2020-04-17,16:22:46,2020-04-18,6:07:43,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",0,,1,,
111,DG Sets,2020-07-25,22:16:55,2020-08-20,7:57:44,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,2,,1,,
112,Lacinia.xls,2020-02-07,7:08:27,2020-02-24,10:12:02,,4,,1,,
113,MQSI,2020-06-17,11:55:30,2020-07-15,15:08:02,,3,Malešići,1,,
114,PMO set-up,2020-08-15,16:52:06,2020-09-03,10:28:42,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",4,,1,,
115,take 44073,2020-08-30,16:18:00,2020-09-20,7:33:21,,5,,0,,
116,IQMS,2020-01-12,3:21:15,2020-02-03,6:40:09,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.",0,,0,,
117,Nursing Management,2020-04-01,10:16:37,2020-04-01,22:08:21,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1,,0,,
118,Surrey,2020-07-22,16:09:15,2020-07-23,8:50:56,Nunc nisl.,3,,1,,
119,Piano,2020-08-30,8:15:34,2020-09-23,4:04:10,,2,,1,,
120,Education,2019-10-29,9:10:46,2019-11-01,23:38:54,,4,,1,,
121,Meet Runte and Sons,2020-01-16,4:45:23,2020-02-01,22:23:26,,4,,1,,
122,Zebra,2020-08-20,2:24:33,2020-09-13,5:34:10,,0,,0,,
123,Pyramix,2020-08-21,10:38:59,2020-09-15,9:01:07,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",5,,0,,
124,Long-term Customer Relationships,2019-11-28,12:57:34,2019-12-05,8:49:01,,0,,0,,
125,MMIS,2020-08-01,10:51:15,2020-08-23,2:51:04,,3,,0,,
126,Supply Chain,2020-04-09,15:38:14,2020-04-16,11:07:11,,2,,1,,
127,DMVPN,2020-09-05,14:33:54,2020-09-19,11:11:17,,4,Xinhua,1,,
128,take 43860,2020-01-30,11:10:15,2020-02-10,2:22:47,,1,,0,,
129,Meeting at Kub Group,2020-02-12,4:58:22,2020-02-14,20:24:16,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",2,,0,,
130,PFGE,2019-10-31,18:21:00,2019-11-04,5:24:47,,4,,1,,
131,Sachtjen,2020-04-22,0:19:51,2020-05-10,15:22:33,,4,,1,,
132,International Shipping,2020-06-03,15:40:39,2020-06-21,16:34:18,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",4,,0,,
133,FaucibusOrci.gif,2020-08-11,15:19:43,2020-08-19,4:33:19,,3,,1,,
134,Ignatian Spirituality,2020-05-19,6:31:05,2020-05-20,21:43:31,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,2,Kremidivka,0,,
135,TSYS,2020-09-15,22:20:00,2020-10-01,10:41:48,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.",5,Taizi,0,,
136,Supplier Quality,2020-06-14,0:08:37,2020-07-12,19:09:58,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,5,,0,,
137,Meet Cummings-Mayer,2020-04-02,0:24:54,2020-04-03,14:10:16,,1,Phong Điền,1,,
138,Functional Verification,2020-01-02,18:25:37,2020-01-13,0:16:16,,3,Druju,0,,
139,Software Documentation,2020-10-21,14:19:52,2020-11-06,15:27:58,,1,,0,,
140,SagittisDuiVel.mp3,2020-02-15,0:59:19,2020-02-19,21:56:29,,0,Colonia Elisa,1,,
141,Meet Dibbert-Heller,2019-11-22,9:13:34,2019-12-16,9:09:14,,5,,1,,
142,Autodesk Inventor,2020-03-07,9:44:43,2020-03-24,14:58:31,,5,,1,,
143,Urban Geography,2020-02-14,11:16:06,2020-02-15,3:17:08,,1,,1,,
144,LS9,2020-08-06,17:38:14,2020-08-27,15:07:47,,1,,0,,
145,EBITDA,2020-08-01,17:11:46,2020-08-14,4:35:09,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2,,0,,
146,Bands,2020-09-26,20:21:10,2020-10-16,22:05:49,,0,,0,,
147,BMD,2019-12-29,11:42:52,2020-01-26,16:59:32,,3,,1,,
148,MorbiNon.ppt,2019-11-06,4:47:07,2019-11-19,19:45:25,Nam tristique tortor eu pede.,2,,1,,
149,Nobel,2020-06-06,17:55:43,2020-06-08,13:30:37,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",5,Qishn,1,,
150,AC Nielsen,2020-07-27,16:25:05,2020-08-04,17:41:14,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,,0,,
151,Meeting with Moore LLC,2020-08-16,13:07:00,2020-08-25,16:36:34,,3,,1,,
152,"Meet Mosciski, Bernier and Bauch",2020-05-25,4:35:31,2020-05-27,14:58:23,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,3,Las Breñas,1,,
153,BibendumFelisSed.mp3,2020-06-21,1:56:10,2020-07-05,23:08:19,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",5,,0,,
154,IBM Rational Rhapsody,2020-05-04,11:46:54,2020-06-01,5:24:42,,4,,0,,
155,Reindahl,2020-02-22,0:40:42,2020-02-22,9:16:01,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",3,Sumberjo,0,,
156,IaaS,2020-06-15,13:10:05,2020-07-06,5:12:35,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,4,,0,,
157,take 43843,2020-01-13,5:29:25,2020-01-17,14:45:08,,2,,1,,
158,LCL,2020-03-31,10:14:39,2020-04-22,16:33:37,,0,,0,,
159,JBPM,2020-08-25,12:12:53,2020-09-18,0:09:19,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",5,,1,,
160,TDR,2019-12-30,21:48:40,2020-01-16,4:33:25,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2,,1,,
